EquationID,Equation,Result,ItemID,Context,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
x1285,989 + 223 + 649 = x1285,1861,8109,The worker sold the car the customer when the accuser distracted the carrier and the conman rated the strategist.,Did the worker sell the car the customer?,Yes,first,three,DoubleObjectConstruction,implausible
x1286,420 + 127 + 106 = x1286,653,8109,The worker sold the car the customer when the accuser distracted the carrier and the conman rated the strategist.,Did the worker sell the car the customer?,Yes,first,three,DoubleObjectConstruction,implausible
x1288,974 + 671 + 765 = x1288,2410,8110,The chef sent the gift the friend when the chief defended the acrobat but the mariner cited the art.,Did the chef send the gift the friend?,Yes,first,three,DoubleObjectConstruction,implausible
x1289,892 + 724 + 772 = x1289,2388,8110,The chef sent the gift the friend when the chief defended the acrobat but the mariner cited the art.,Did the chef send the gift the friend?,Yes,first,three,DoubleObjectConstruction,implausible
x1291,242 + 179 + 633 = x1291,1054,8111,The waiter served the meals the guys when the meteorologist replaced the sponsor because the forester faced the physicist.,Did the waiter serve the meals the guys?,Yes,first,three,DoubleObjectConstruction,implausible
x1292,438 + 369 + 720 = x1292,1527,8111,The waiter served the meals the guys when the meteorologist replaced the sponsor because the forester faced the physicist.,Did the waiter serve the meals the guys?,Yes,first,three,DoubleObjectConstruction,implausible
x1294,156 + 561 + 390 = x1294,1107,8112,The lady shipped the package the recipient when the clarinetist investigated the herder after the shortstop shamed the newswoman.,Did the lady ship the package the recipient?,Yes,first,three,DoubleObjectConstruction,implausible
x1295,459 + 409 + 367 = x1295,1235,8112,The lady shipped the package the recipient when the clarinetist investigated the herder after the shortstop shamed the newswoman.,Did the lady ship the package the recipient?,Yes,first,three,DoubleObjectConstruction,implausible
x1297,864 + 921 + 825 = x1297,2610,8113,The guide showed the landmarks the tourists because the socialite misleaded the candidate and the custodian entertained the swindler.,Did the guide show the landmarks the tourists?,Yes,first,three,DoubleObjectConstruction,implausible
x1298,501 + 902 + 340 = x1298,1743,8113,The guide showed the landmarks the tourists because the socialite misleaded the candidate and the custodian entertained the swindler.,Did the guide show the landmarks the tourists?,Yes,first,three,DoubleObjectConstruction,implausible
x1300,399 + 258 + 942 = x1300,1599,8114,The man slipped the slip the receptionist because the protagonist naged the dog but the bodyguard soothed the upholsterer.,Did the man slip the slip the receptionist?,Yes,first,three,DoubleObjectConstruction,implausible
x1301,840 + 910 + 640 = x1301,2390,8114,The man slipped the slip the receptionist because the protagonist naged the dog but the bodyguard soothed the upholsterer.,Did the man slip the slip the receptionist?,Yes,first,three,DoubleObjectConstruction,implausible
x1303,262 + 510 + 425 = x1303,1197,8115,The smuggler smuggled the goods the man because the trespasser avoided the pollster when the publisher derided the yodeler.,Did the smuggler smuggle the goods the man?,Yes,first,three,DoubleObjectConstruction,implausible
x1304,645 + 377 + 871 = x1304,1893,8115,The smuggler smuggled the goods the man because the trespasser avoided the pollster when the publisher derided the yodeler.,Did the smuggler smuggle the goods the man?,Yes,first,three,DoubleObjectConstruction,implausible
x1306,755 + 535 + 944 = x1306,2234,8116,The boy took the snack the mother because the violinist flustered the churchgoer after the housemaid invoiced the immigrant.,Did the boy take the snack the mother?,Yes,first,three,DoubleObjectConstruction,implausible
x1307,831 + 717 + 279 = x1307,1827,8116,The boy took the snack the mother because the violinist flustered the churchgoer after the housemaid invoiced the immigrant.,Did the boy take the snack the mother?,Yes,first,three,DoubleObjectConstruction,implausible
x1309,300 + 559 + 428 = x1309,1287,8117,The teacher taught the concept the students after the barkeeper saluted the sophomore and the signatory esteemed the stableman.,Did the teacher teach the concept the students?,Yes,first,three,DoubleObjectConstruction,implausible
x1310,190 + 765 + 692 = x1310,1647,8117,The teacher taught the concept the students after the barkeeper saluted the sophomore and the signatory esteemed the stableman.,Did the teacher teach the concept the students?,Yes,first,three,DoubleObjectConstruction,implausible
x1312,955 + 204 + 867 = x1312,2026,8118,The student told the joke the friend after the proofreader beated the deacon but the grocer misquoted the adjuster.,Did the student tell the joke the friend?,Yes,first,three,DoubleObjectConstruction,implausible
x1313,746 + 115 + 500 = x1313,1361,8118,The student told the joke the friend after the proofreader beated the deacon but the grocer misquoted the adjuster.,Did the student tell the joke the friend?,Yes,first,three,DoubleObjectConstruction,implausible
x1315,613 + 952 + 555 = x1315,2120,8119,The man traded the bicycle the lady after the importer betraied the countess because the camper stared the chaplain.,Did the man trade the bicycle the lady?,Yes,first,three,DoubleObjectConstruction,implausible
x1316,265 + 324 + 279 = x1316,868,8119,The man traded the bicycle the lady after the importer betraied the countess because the camper stared the chaplain.,Did the man trade the bicycle the lady?,Yes,first,three,DoubleObjectConstruction,implausible
x1318,954 + 846 + 275 = x1318,2075,8120,The boy wrote the author the letter after the equestrian misinformed the arbitrator when the physicist yelled the zoologist.,Did the boy write the letter the author?,Yes,first,three,DoubleObjectConstruction,implausible
x1319,291 + 329 + 568 = x1319,1188,8120,The boy wrote the author the letter after the equestrian misinformed the arbitrator when the physicist yelled the zoologist.,Did the boy write the letter the author?,Yes,first,three,DoubleObjectConstruction,implausible
x1321,201 + 730 + 767 = x1321,1698,8121,The italian alienated the leper and the manager allocated the budget the department but the chemist mortified the forester.,Did the manager allocate the budget the department?,Yes,second,three,DoubleObjectConstruction,implausible
x1322,614 + 916 + 699 = x1322,2229,8121,The italian alienated the leper and the manager allocated the budget the department but the chemist mortified the forester.,Did the manager allocate the budget the department?,Yes,second,three,DoubleObjectConstruction,implausible
x1324,344 + 669 + 958 = x1324,1971,8122,The performer filmed the peace-lover and the teacher assigned the homework the students when the gallery enticed the athlete.,Did the teacher assign the homework the students?,Yes,second,three,DoubleObjectConstruction,implausible
x1325,712 + 782 + 295 = x1325,1789,8122,The performer filmed the peace-lover and the teacher assigned the homework the students when the gallery enticed the athlete.,Did the teacher assign the homework the students?,Yes,second,three,DoubleObjectConstruction,implausible
x1327,439 + 925 + 217 = x1327,1581,8123,The newcomer antagonized the sniper and the committee awarded the trophy the champion because the goalkeeper photographed the survivor.,Did the committee award the trophy the champion?,Yes,second,three,DoubleObjectConstruction,implausible
x1328,640 + 121 + 606 = x1328,1367,8123,The newcomer antagonized the sniper and the committee awarded the trophy the champion because the goalkeeper photographed the survivor.,Did the committee award the trophy the champion?,Yes,second,three,DoubleObjectConstruction,implausible
x1330,276 + 617 + 505 = x1330,1398,8124,The treasurer neglected the bodyguard and the hostess brought the drinks the guests after the interpreter snubed the skier.,Did the hostess bring the drinks the guests?,Yes,second,three,DoubleObjectConstruction,implausible
x1331,973 + 144 + 680 = x1331,1797,8124,The treasurer neglected the bodyguard and the hostess brought the drinks the guests after the interpreter snubed the skier.,Did the hostess bring the drinks the guests?,Yes,second,three,DoubleObjectConstruction,implausible
x1333,462 + 178 + 218 = x1333,858,8125,The defender heared the inventor but the secretary emailed the document the client and the climber baffled the shepherd.,Did the secretary email the document the client?,Yes,second,three,DoubleObjectConstruction,implausible
x1334,766 + 947 + 536 = x1334,2249,8125,The defender heared the inventor but the secretary emailed the document the client and the climber baffled the shepherd.,Did the secretary email the document the client?,Yes,second,three,DoubleObjectConstruction,implausible
x1336,946 + 163 + 144 = x1336,1253,8126,The physiologist related the clown but the company extended the contract the employee when the postdoc ridiculed the sinner.,Did the company extend the contract the employee?,Yes,second,three,DoubleObjectConstruction,implausible
x1337,965 + 778 + 180 = x1337,1923,8126,The physiologist related the clown but the company extended the contract the employee when the postdoc ridiculed the sinner.,Did the company extend the contract the employee?,Yes,second,three,DoubleObjectConstruction,implausible
x1339,583 + 544 + 919 = x1339,2046,8127,The embalmer choked the socialite but the assistant faxed the report the supervisor because the insider swindled the supplier.,Did the assistant fax the report the supervisor?,Yes,second,three,DoubleObjectConstruction,implausible
x1340,374 + 214 + 129 = x1340,717,8127,The embalmer choked the socialite but the assistant faxed the report the supervisor because the insider swindled the supplier.,Did the assistant fax the report the supervisor?,Yes,second,three,DoubleObjectConstruction,implausible
x1342,136 + 167 + 412 = x1342,715,8128,The miser rejected the adjuster but the mother fed the formula the baby after the branch acknowledged the milkman.,Did the mother feed the formula the baby?,Yes,second,three,DoubleObjectConstruction,implausible
x1343,470 + 431 + 808 = x1343,1709,8128,The miser rejected the adjuster but the mother fed the formula the baby after the branch acknowledged the milkman.,Did the mother feed the formula the baby?,Yes,second,three,DoubleObjectConstruction,implausible
x1345,638 + 176 + 906 = x1345,1720,8129,The englishman sickened the finn when the assistant forwarded the message the team and the waitress encountered the co-worker.,Did the assistant forward the message the team?,Yes,second,three,DoubleObjectConstruction,implausible
x1346,406 + 143 + 882 = x1346,1431,8129,The englishman sickened the finn when the assistant forwarded the message the team and the waitress encountered the co-worker.,Did the assistant forward the message the team?,Yes,second,three,DoubleObjectConstruction,implausible
x1348,568 + 386 + 185 = x1348,1139,8130,The cartographer screamed the publisher when the philanthropist gave the donation the charity but the linguist ridiculed the percussionist.,Did the philanthropist give the donation the charity?,Yes,second,three,DoubleObjectConstruction,implausible
x1349,571 + 283 + 353 = x1349,1207,8130,The cartographer screamed the publisher when the philanthropist gave the donation the charity but the linguist ridiculed the percussionist.,Did the philanthropist give the donation the charity?,Yes,second,three,DoubleObjectConstruction,implausible
x1351,527 + 427 + 834 = x1351,1788,8131,The gastroenterologist scorned the stenographer when the foundation granted the scholarship the student because the biologist recognized the golfer.,Did the foundation grant the scholarship the student?,Yes,second,three,DoubleObjectConstruction,implausible
x1352,763 + 355 + 595 = x1352,1713,8131,The gastroenterologist scorned the stenographer when the foundation granted the scholarship the student because the biologist recognized the golfer.,Did the foundation grant the scholarship the student?,Yes,second,three,DoubleObjectConstruction,implausible
x1354,417 + 114 + 600 = x1354,1131,8132,The outsider ruined the poacher when the vendor handed the brochure the customer after the townspeople introduced the fanatic.,Did the vendor hand the brochure the customer?,Yes,second,three,DoubleObjectConstruction,implausible
x1355,850 + 788 + 338 = x1355,1976,8132,The outsider ruined the poacher when the vendor handed the brochure the customer after the townspeople introduced the fanatic.,Did the vendor hand the brochure the customer?,Yes,second,three,DoubleObjectConstruction,implausible
x1357,758 + 337 + 308 = x1357,1403,8133,The rival persuaded the equestrian because the workers hauled the equipment the site and the chairman vexed the litigator.,Did the workers haul the equipment the site?,Yes,second,three,DoubleObjectConstruction,implausible
x1358,819 + 558 + 919 = x1358,2296,8133,The rival persuaded the equestrian because the workers hauled the equipment the site and the chairman vexed the litigator.,Did the workers haul the equipment the site?,Yes,second,three,DoubleObjectConstruction,implausible
x1360,206 + 565 + 737 = x1360,1508,8134,The dissident buged the pharmacist because the government issued the license the owner but the victim mortified the landscaper.,Did the government issue the license the owner?,Yes,second,three,DoubleObjectConstruction,implausible
x1361,896 + 979 + 479 = x1361,2354,8134,The dissident buged the pharmacist because the government issued the license the owner but the victim mortified the landscaper.,Did the government issue the license the owner?,Yes,second,three,DoubleObjectConstruction,implausible
x1363,436 + 603 + 500 = x1363,1539,8135,The cabbie relieved the spokeswoman because the friend lent the book the reader when the botanist challenged the teller.,Did the friend lend the book the reader?,Yes,second,three,DoubleObjectConstruction,implausible
x1364,959 + 611 + 103 = x1364,1673,8135,The cabbie relieved the spokeswoman because the friend lent the book the reader when the botanist challenged the teller.,Did the friend lend the book the reader?,Yes,second,three,DoubleObjectConstruction,implausible
x1366,944 + 757 + 628 = x1366,2329,8136,The surfer tested the sinner because the landlord leased the apartment the tenant after the obstetrician challenged the shortstop.,Did the landlord lease the apartment the tenant?,Yes,second,three,DoubleObjectConstruction,implausible
x1367,705 + 242 + 298 = x1367,1245,8136,The surfer tested the sinner because the landlord leased the apartment the tenant after the obstetrician challenged the shortstop.,Did the landlord lease the apartment the tenant?,Yes,second,three,DoubleObjectConstruction,implausible
x1369,820 + 347 + 202 = x1369,1369,8137,The dermatologist cursed the obstetrician after the traveler left the tip the waiter and the publisher hounded the monk.,Did the traveler leave the tip the waiter?,Yes,second,three,DoubleObjectConstruction,implausible
x1370,460 + 456 + 498 = x1370,1414,8137,The dermatologist cursed the obstetrician after the traveler left the tip the waiter and the publisher hounded the monk.,Did the traveler leave the tip the waiter?,Yes,second,three,DoubleObjectConstruction,implausible
x1372,779 + 257 + 249 = x1372,1285,8138,The commentator harassed the tramp after the bank loaned the money the borrower but the sentry extoled the englishman.,Did the bank loan the money the borrower?,Yes,second,three,DoubleObjectConstruction,implausible
x1373,695 + 727 + 731 = x1373,2153,8138,The commentator harassed the tramp after the bank loaned the money the borrower but the sentry extoled the englishman.,Did the bank loan the money the borrower?,Yes,second,three,DoubleObjectConstruction,implausible
x1375,689 + 862 + 585 = x1375,2136,8139,The pathologist beated the russian after the secretary mailed the invitation the guests because the heiress beged the hypnotist.,Did the secretary mail the invitation the guests?,Yes,second,three,DoubleObjectConstruction,implausible
x1376,816 + 602 + 994 = x1376,2412,8139,The pathologist beated the russian after the secretary mailed the invitation the guests because the heiress beged the hypnotist.,Did the secretary mail the invitation the guests?,Yes,second,three,DoubleObjectConstruction,implausible
x1378,392 + 845 + 496 = x1378,1733,8140,The sorcerer lashed the shepherd after the store offered the discount the customers when the invalid dazzled the planner.,Did the store offer the discount the customers?,Yes,second,three,DoubleObjectConstruction,implausible
x1379,228 + 121 + 472 = x1379,821,8140,The sorcerer lashed the shepherd after the store offered the discount the customers when the invalid dazzled the planner.,Did the store offer the discount the customers?,Yes,second,three,DoubleObjectConstruction,implausible
x1381,563 + 304 + 394 = x1381,1261,8141,The trustee fascinated the taxpayer and the australian maddened the sentry but the debtor owed the debt the creditor.,Did the debtor owe the debt the creditor?,Yes,third,three,DoubleObjectConstruction,implausible
x1382,991 + 820 + 407 = x1382,2218,8141,The trustee fascinated the taxpayer and the australian maddened the sentry but the debtor owed the debt the creditor.,Did the debtor owe the debt the creditor?,Yes,third,three,DoubleObjectConstruction,implausible
x1384,214 + 755 + 174 = x1384,1143,8142,The nobleman distracted the pawnbroker and the bassist startled the signatory when the student passed the note the classmate.,Did the student pass the note the classmate?,Yes,third,three,DoubleObjectConstruction,implausible
x1385,285 + 859 + 548 = x1385,1692,8142,The nobleman distracted the pawnbroker and the bassist startled the signatory when the student passed the note the classmate.,Did the student pass the note the classmate?,Yes,third,three,DoubleObjectConstruction,implausible
x1387,230 + 433 + 118 = x1387,781,8143,The meatpacker repulsed the deacon and the archivist mollified the maniac because the customer paid the bill the cashier.,Did the customer pay the bill the cashier?,Yes,third,three,DoubleObjectConstruction,implausible
x1388,518 + 569 + 885 = x1388,1972,8143,The meatpacker repulsed the deacon and the archivist mollified the maniac because the customer paid the bill the cashier.,Did the customer pay the bill the cashier?,Yes,third,three,DoubleObjectConstruction,implausible
x1390,934 + 954 + 443 = x1390,2331,8144,The revolutionary recognized the psychopath and the crusader pated the hippie after the author posted the manuscript the publisher.,Did the author post the manuscript the publisher?,Yes,third,three,DoubleObjectConstruction,implausible
x1391,451 + 287 + 371 = x1391,1109,8144,The revolutionary recognized the psychopath and the crusader pated the hippie after the author posted the manuscript the publisher.,Did the author post the manuscript the publisher?,Yes,third,three,DoubleObjectConstruction,implausible
x1393,334 + 312 + 314 = x1393,960,8145,The foreigner intrigued the girlfriend but the doorman squeezed the caregiver and the manager promised the promotion the employee.,Did the manager promise the promotion the employee?,Yes,third,three,DoubleObjectConstruction,implausible
x1394,100 + 860 + 862 = x1394,1822,8145,The foreigner intrigued the girlfriend but the doorman squeezed the caregiver and the manager promised the promotion the employee.,Did the manager promise the promotion the employee?,Yes,third,three,DoubleObjectConstruction,implausible
x1396,492 + 172 + 850 = x1396,1514,8146,The agnostic infected the steelworker but the pawnbroker backed the felon when the seller refunded the price the buyer.,Did the seller refund the price the buyer?,Yes,third,three,DoubleObjectConstruction,implausible
x1397,606 + 481 + 316 = x1397,1403,8146,The agnostic infected the steelworker but the pawnbroker backed the felon when the seller refunded the price the buyer.,Did the seller refund the price the buyer?,Yes,third,three,DoubleObjectConstruction,implausible
x1399,585 + 441 + 918 = x1399,1944,8147,The landlady beged the donor but the cardinal bemused the citizen because the operator relayed the message the recipient.,Did the operator relay the message the recipient?,Yes,third,three,DoubleObjectConstruction,implausible
x1400,767 + 432 + 234 = x1400,1433,8147,The landlady beged the donor but the cardinal bemused the citizen because the operator relayed the message the recipient.,Did the operator relay the message the recipient?,Yes,third,three,DoubleObjectConstruction,implausible
x1402,997 + 747 + 265 = x1402,2009,8148,The canadian aggravated the yardman but the hitter smacked the wizard after the debtor repaid the loan the lender.,Did the debtor repay the loan the lender?,Yes,third,three,DoubleObjectConstruction,implausible
x1403,525 + 620 + 218 = x1403,1363,8148,The canadian aggravated the yardman but the hitter smacked the wizard after the debtor repaid the loan the lender.,Did the debtor repay the loan the lender?,Yes,third,three,DoubleObjectConstruction,implausible
x1405,874 + 245 + 909 = x1405,2028,8149,The yodeler ruined the equestrian when the signatory flustered the innovator and the salesperson sold the product the customer.,Did the salesperson sell the product the customer?,Yes,third,three,DoubleObjectConstruction,implausible
x1406,299 + 874 + 728 = x1406,1901,8149,The yodeler ruined the equestrian when the signatory flustered the innovator and the salesperson sold the product the customer.,Did the salesperson sell the product the customer?,Yes,third,three,DoubleObjectConstruction,implausible
x1408,315 + 835 + 411 = x1408,1561,8150,The weaver tickled the polygamist when the climber peeved the treasurer but the company sent the package the recipient.,Did the company send the package the recipient?,Yes,third,three,DoubleObjectConstruction,implausible
x1409,753 + 699 + 650 = x1409,2102,8150,The weaver tickled the polygamist when the climber peeved the treasurer but the company sent the package the recipient.,Did the company send the package the recipient?,Yes,third,three,DoubleObjectConstruction,implausible
x1411,654 + 195 + 198 = x1411,1047,8151,The rabbi belittled the psychic when the feminist rated the greek because the waiter served the meal the diners.,Did the waiter serve the meal the diners?,Yes,third,three,DoubleObjectConstruction,implausible
x1412,227 + 168 + 200 = x1412,595,8151,The rabbi belittled the psychic when the feminist rated the greek because the waiter served the meal the diners.,Did the waiter serve the meal the diners?,Yes,third,three,DoubleObjectConstruction,implausible
x1414,885 + 961 + 154 = x1414,2000,8152,The socialite stuned the jailor when the chief avoided the governor after the retailer shipped the order the customer.,Did the retailer ship the order the customer?,Yes,third,three,DoubleObjectConstruction,implausible
x1415,951 + 440 + 122 = x1415,1513,8152,The socialite stuned the jailor when the chief avoided the governor after the retailer shipped the order the customer.,Did the retailer ship the order the customer?,Yes,third,three,DoubleObjectConstruction,implausible
x1417,286 + 170 + 896 = x1417,1352,8153,The censor contradicted the opponent because the wench accosted the butler and the guide showed the map the tourists.,Did the guide show the map the tourists?,Yes,third,three,DoubleObjectConstruction,implausible
x1418,156 + 191 + 534 = x1418,881,8153,The censor contradicted the opponent because the wench accosted the butler and the guide showed the map the tourists.,Did the guide show the map the tourists?,Yes,third,three,DoubleObjectConstruction,implausible
x1420,333 + 316 + 303 = x1420,952,8154,The oncologist introduced the valet because the psychologist mortified the organist but the child slipped the note the girl.,Did the child slip the note the girl?,Yes,third,three,DoubleObjectConstruction,implausible
x1421,747 + 890 + 468 = x1421,2105,8154,The oncologist introduced the valet because the psychologist mortified the organist but the child slipped the note the girl.,Did the child slip the note the girl?,Yes,third,three,DoubleObjectConstruction,implausible
x1423,511 + 436 + 799 = x1423,1746,8155,The weightlifter buged the buyer because the shopper cheated the locksmith when the smuggler smuggled the contraband the guy.,Did the smuggler smuggle the contraband the guy?,Yes,third,three,DoubleObjectConstruction,implausible
x1424,884 + 544 + 111 = x1424,1539,8155,The weightlifter buged the buyer because the shopper cheated the locksmith when the smuggler smuggled the contraband the guy.,Did the smuggler smuggle the contraband the guy?,Yes,third,three,DoubleObjectConstruction,implausible
x1426,864 + 156 + 882 = x1426,1902,8156,The usurper exasperated the stenographer because the dealer inspired the soundman after the student took the pen the teacher.,Did the student take the pen the teacher?,Yes,third,three,DoubleObjectConstruction,implausible
x1427,707 + 226 + 359 = x1427,1292,8156,The usurper exasperated the stenographer because the dealer inspired the soundman after the student took the pen the teacher.,Did the student take the pen the teacher?,Yes,third,three,DoubleObjectConstruction,implausible
x1429,472 + 983 + 268 = x1429,1723,8157,The caregiver ridiculed the medic after the organist persuaded the illustrator and the instructor taught the lesson the students.,Did the instructor teach the lesson the students?,Yes,third,three,DoubleObjectConstruction,implausible
x1430,741 + 491 + 624 = x1430,1856,8157,The caregiver ridiculed the medic after the organist persuaded the illustrator and the instructor taught the lesson the students.,Did the instructor teach the lesson the students?,Yes,third,three,DoubleObjectConstruction,implausible
x1432,795 + 339 + 793 = x1432,1927,8158,The surgeon befriended the brewer after the astronaut ignored the drummer but the friend told the joke the audience.,Did the friend tell the joke the audience?,Yes,third,three,DoubleObjectConstruction,implausible
x1433,250 + 931 + 810 = x1433,1991,8158,The surgeon befriended the brewer after the astronaut ignored the drummer but the friend told the joke the audience.,Did the friend tell the joke the audience?,Yes,third,three,DoubleObjectConstruction,implausible
x1435,649 + 731 + 247 = x1435,1627,8159,The monk notified the clarinetist after the merchant chastised the bullfighter because the trader traded the stocks the investor.,Did the trader trade the stocks the investor?,Yes,third,three,DoubleObjectConstruction,implausible
x1436,539 + 783 + 795 = x1436,2117,8159,The monk notified the clarinetist after the merchant chastised the bullfighter because the trader traded the stocks the investor.,Did the trader trade the stocks the investor?,Yes,third,three,DoubleObjectConstruction,implausible
x1438,446 + 429 + 636 = x1438,1511,8160,The crusader assuaged the train after the optometrist harassed the caregiver when the author wrote the book the readers.,Did the author write the book the readers?,Yes,third,three,DoubleObjectConstruction,implausible
x1439,865 + 519 + 430 = x1439,1814,8160,The crusader assuaged the train after the optometrist harassed the caregiver when the author wrote the book the readers.,Did the author write the book the readers?,Yes,third,three,DoubleObjectConstruction,implausible
x1441,141 + 992 + 195 = x1441,1328,8161,The manager allocated the tasks to the employees and the inventor encountered the chaplain but the commoner quized the mariner.,Did the manager allocate the tasks to the employees?,Yes,first,three,DativeConstruction,plausible
x1442,243 + 369 + 512 = x1442,1124,8161,The manager allocated the tasks to the employees and the inventor encountered the chaplain but the commoner quized the mariner.,Did the manager allocate the tasks to the employees?,Yes,first,three,DativeConstruction,plausible
x1444,113 + 725 + 413 = x1444,1251,8162,The lady assigned the project to the assistant and the agnostic belittled the kleptomaniac when the salesman dismissed the surfer.,Did the lady assign the project to the assistant?,Yes,first,three,DativeConstruction,plausible
x1445,307 + 730 + 998 = x1445,2035,8162,The lady assigned the project to the assistant and the agnostic belittled the kleptomaniac when the salesman dismissed the surfer.,Did the lady assign the project to the assistant?,Yes,first,three,DativeConstruction,plausible
x1447,748 + 551 + 417 = x1447,1716,8163,The committee awarded the trophy to the athlete and the fugitive seduced the henchman because the yachtsman framed the peace-lover.,Did the committee award the trophy to the athlete?,Yes,first,three,DativeConstruction,plausible
x1448,519 + 682 + 695 = x1448,1896,8163,The committee awarded the trophy to the athlete and the fugitive seduced the henchman because the yachtsman framed the peace-lover.,Did the committee award the trophy to the athlete?,Yes,first,three,DativeConstruction,plausible
x1450,427 + 816 + 929 = x1450,2172,8164,The boy brought the souvenir to the friend and the conductor tickled the surgeon after the patrolman framed the grandson.,Did the boy bring the souvenir to the friend?,Yes,first,three,DativeConstruction,plausible
x1451,518 + 729 + 462 = x1451,1709,8164,The boy brought the souvenir to the friend and the conductor tickled the surgeon after the patrolman framed the grandson.,Did the boy bring the souvenir to the friend?,Yes,first,three,DativeConstruction,plausible
x1453,365 + 639 + 626 = x1453,1630,8165,The colleague emailed the agenda to the team but the maverick enticed the valet and the protagonist fascinated the toolmaker.,Did the colleague email the agenda to the team?,Yes,first,three,DativeConstruction,plausible
x1454,291 + 405 + 449 = x1454,1145,8165,The colleague emailed the agenda to the team but the maverick enticed the valet and the protagonist fascinated the toolmaker.,Did the colleague email the agenda to the team?,Yes,first,three,DativeConstruction,plausible
x1456,398 + 388 + 388 = x1456,1174,8166,The company extended the extension to the client but the prosecutor bemused the informer when the equestrian photographed the shopper.,Did the company extend the extension to the client?,Yes,first,three,DativeConstruction,plausible
x1457,282 + 241 + 977 = x1457,1500,8166,The company extended the extension to the client but the prosecutor bemused the informer when the equestrian photographed the shopper.,Did the company extend the extension to the client?,Yes,first,three,DativeConstruction,plausible
x1459,545 + 595 + 254 = x1459,1394,8167,The secretary faxed the document to the supervisor but the spokesman represented the stuntman because the usurper excused the security.,Did the secretary fax the document to the supervisor?,Yes,first,three,DativeConstruction,plausible
x1460,484 + 453 + 875 = x1460,1812,8167,The secretary faxed the document to the supervisor but the spokesman represented the stuntman because the usurper excused the security.,Did the secretary fax the document to the supervisor?,Yes,first,three,DativeConstruction,plausible
x1462,919 + 308 + 158 = x1462,1385,8168,The student fed the meal to the ducks but the townspeople healed the canadian after the shortstop agitated the niece.,Did the student feed the meal to the ducks?,Yes,first,three,DativeConstruction,plausible
x1463,279 + 520 + 930 = x1463,1729,8168,The student fed the meal to the ducks but the townspeople healed the canadian after the shortstop agitated the niece.,Did the student feed the meal to the ducks?,Yes,first,three,DativeConstruction,plausible
x1465,329 + 125 + 683 = x1465,1137,8169,The coworker forwarded the email to the client when the encroacher confronted the german and the solicitor soothed the teenager.,Did the coworker forward the email to the client?,Yes,first,three,DativeConstruction,plausible
x1466,361 + 946 + 202 = x1466,1509,8169,The coworker forwarded the email to the client when the encroacher confronted the german and the solicitor soothed the teenager.,Did the coworker forward the email to the client?,Yes,first,three,DativeConstruction,plausible
x1468,967 + 636 + 631 = x1468,2234,8170,The employee gave the book to the sister when the foreigner rejected the petitioner but the foreman awakened the agnostic.,Did the employee give the book to the sister?,Yes,first,three,DativeConstruction,plausible
x1469,212 + 893 + 229 = x1469,1334,8170,The employee gave the book to the sister when the foreigner rejected the petitioner but the foreman awakened the agnostic.,Did the employee give the book to the sister?,Yes,first,three,DativeConstruction,plausible
x1471,244 + 206 + 121 = x1471,571,8171,The foundation granted the funding to the organization when the meteorologist encountered the sergeant because the dairyman lashed the oracle.,Did the foundation grant the funding to the organization?,Yes,first,three,DativeConstruction,plausible
x1472,528 + 733 + 423 = x1472,1684,8171,The foundation granted the funding to the organization when the meteorologist encountered the sergeant because the dairyman lashed the oracle.,Did the foundation grant the funding to the organization?,Yes,first,three,DativeConstruction,plausible
x1474,445 + 151 + 617 = x1474,1213,8172,The waiter handed the menu to the customer when the sherpa notified the psychic after the informer singed the geophysicist.,Did the waiter hand the menu to the customer?,Yes,first,three,DativeConstruction,plausible
x1475,192 + 910 + 799 = x1475,1901,8172,The waiter handed the menu to the customer when the sherpa notified the psychic after the informer singed the geophysicist.,Did the waiter hand the menu to the customer?,Yes,first,three,DativeConstruction,plausible
x1477,386 + 147 + 143 = x1477,676,8173,The teacher hauled the groceries to the friend because the hypochondriac healed the girlfriend and the mover infuriated the stonecutter.,Did the teacher haul the groceries to the friend?,Yes,first,three,DativeConstruction,plausible
x1478,895 + 872 + 495 = x1478,2262,8173,The teacher hauled the groceries to the friend because the hypochondriac healed the girlfriend and the mover infuriated the stonecutter.,Did the teacher haul the groceries to the friend?,Yes,first,three,DativeConstruction,plausible
x1480,209 + 627 + 203 = x1480,1039,8174,The government issued the cards to the citizens because the rival soothed the executive but the patriot scorned the housemaid.,Did the government issue the cards to the citizens?,Yes,first,three,DativeConstruction,plausible
x1481,329 + 726 + 573 = x1481,1628,8174,The government issued the cards to the citizens because the rival soothed the executive but the patriot scorned the housemaid.,Did the government issue the cards to the citizens?,Yes,first,three,DativeConstruction,plausible
x1483,909 + 136 + 137 = x1483,1182,8175,The man lent the ladder to the neighbor because the socialist interviewed the governor when the anesthesiologist chastised the stonecutter.,Did the man lend the ladder to the neighbor?,Yes,first,three,DativeConstruction,plausible
x1484,849 + 712 + 125 = x1484,1686,8175,The man lent the ladder to the neighbor because the socialist interviewed the governor when the anesthesiologist chastised the stonecutter.,Did the man lend the ladder to the neighbor?,Yes,first,three,DativeConstruction,plausible
x1486,185 + 128 + 513 = x1486,826,8176,The landlord leased the apartment to the tenant because the lecturer pinched the coward after the grandfather visited the motorcyclist.,Did the landlord lease the apartment to the tenant?,Yes,first,three,DativeConstruction,plausible
