Group,ItemID,Context,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility,Item,Arithmetic,Task
C,7881,The 6 ceo + seduced 9 the = prosecutor x801 and 8 the + bookshelf 3 was = assembled x802 by 2 the + carpenter 2 but = the x803 landlady 2 filmed + the 7 pastor.,The,6,ceo,+,seduced,9,the,=,prosecutor,x801,and,8,the,+,bookshelf,3,was,=,assembled,x802,by,2,the,+,carpenter,2,but,=,the,x803,landlady,2,filmed,+,the,7,pastor.,*,*,*,*,Was the bookshelf assembled by the carpenter?,J,second,three,Passive,plausible,121,1digit_2addition,dual
C,7882,The 6 maverick + followed 5 the = machinist x805 and 7 the + mat 2 was = bent x806 by 4 the + instructor 7 when = the x807 veterinarian 9 ridiculed + the 8 lieutenant.,The,6,maverick,+,followed,5,the,=,machinist,x805,and,7,the,+,mat,2,was,=,bent,x806,by,4,the,+,instructor,7,when,=,the,x807,veterinarian,9,ridiculed,+,the,8,lieutenant.,*,*,*,*,Was the mat bent by the instructor?,J,second,three,Passive,plausible,122,1digit_2addition,noisy-single
C,7901,The hitter mentioned the toymaker and the zealot dazzled the creditor but the door was kicked by the guy.,The,hitter,mentioned,the,toymaker,and,the,zealot,dazzled,the,creditor,but,the,door,was,kicked,by,the,guy.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Was the door kicked by the guy?,J,third,three,Passive,plausible,141,1digit_2addition,single
C,11822,The 7 student + was 2 knocked = by x6345 the 7 door + and 7 the = stableman x6346 framed 9 the + newcomer 3 when = the x6347 rustler 8 assuaged + the 6 playwright.,The,7,student,+,was,2,knocked,=,by,x6345,the,7,door,+,and,7,the,=,stableman,x6346,framed,9,the,+,newcomer,3,when,=,the,x6347,rustler,8,assuaged,+,the,6,playwright.,*,*,*,*,Was the door knocked by the student?,F,first,three,Passive,implausible,142,1digit_2addition,dual
C,11921,The 9 train + hurted 7 the = shortstop x6741 and 6 the + missionary 8 seduced = the x6742 physiologist 5 but + the 1 manager = allocated x6743 the 5 tasks + the 4 employees.,The,9,train,+,hurted,7,the,=,shortstop,x6741,and,6,the,+,missionary,8,seduced,=,the,x6742,physiologist,5,but,+,the,1,manager,=,allocated,x6743,the,5,tasks,+,the,4,employees.,*,*,*,*,Did the manager allocate the employees the tasks?,F,third,three,DoubleObjectConstruction,implausible,161,1digit_2addition,noisy-single
C,11922,The patriot represented the sherpa and the benefactor approved the chairman when the lady assigned the project the assistant.,The,patriot,represented,the,sherpa,and,the,benefactor,approved,the,chairman,when,the,lady,assigned,the,project,the,assistant.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the lady assign the assistant the project?,F,third,three,DoubleObjectConstruction,implausible,162,1digit_2addition,single
C,11861,The 5 administrator + offended 4 the = fortune-teller x6501 and 7 the + candidate 6 hounded = the x6502 saxophonist 1 but + the 6 borrower = owed x6503 the 3 lender + the 7 money.,The,5,administrator,+,offended,4,the,=,fortune-teller,x6501,and,7,the,+,candidate,6,hounded,=,the,x6502,saxophonist,1,but,+,the,6,borrower,=,owed,x6503,the,3,lender,+,the,7,money.,*,*,*,*,Did the borrower owe the money the lender?,F,third,three,DoubleObjectConstruction,plausible,181,1digit_2addition,dual
C,11862,The 4 pole + pursued 3 the = anesthesiologist x6505 and 4 the + geographer 8 extoled = the x6506 auditor 5 when + the 2 student = passed x6507 the 4 teacher + the 8 assignment.,The,4,pole,+,pursued,3,the,=,anesthesiologist,x6505,and,4,the,+,geographer,8,extoled,=,the,x6506,auditor,5,when,+,the,2,student,=,passed,x6507,the,4,teacher,+,the,8,assignment.,*,*,*,*,Did the student pass the assignment the teacher?,F,third,three,DoubleObjectConstruction,plausible,182,1digit_2addition,noisy-single
C,11881,The manager allocated the department the budget and the butler infuriated the valet but the camper exposed the telemarketer.,The,manager,allocated,the,department,the,budget,and,the,butler,infuriated,the,valet,but,the,camper,exposed,the,telemarketer.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the manager allocate the budget the department?,F,first,three,DoubleObjectConstruction,plausible,201,1digit_2addition,single
C,8122,The 7 performer + filmed 8 the = peace-lover x1765 and 2 the + teacher 3 assigned = the x1766 homework 5 the + students 9 when = the x1767 gallery 4 enticed + the 9 athlete.,The,7,performer,+,filmed,8,the,=,peace-lover,x1765,and,2,the,+,teacher,3,assigned,=,the,x1766,homework,5,the,+,students,9,when,=,the,x1767,gallery,4,enticed,+,the,9,athlete.,*,*,*,*,Did the teacher assign the homework the students?,J,second,three,DoubleObjectConstruction,implausible,202,1digit_2addition,dual
C,8141,The 4 trustee + fascinated 7 the = taxpayer x1841 and 1 the + australian 7 maddened = the x1842 sentry 3 but + the 3 debtor = owed x1843 the 1 debt + the 4 creditor.,The,4,trustee,+,fascinated,7,the,=,taxpayer,x1841,and,1,the,+,australian,7,maddened,=,the,x1842,sentry,3,but,+,the,3,debtor,=,owed,x1843,the,1,debt,+,the,4,creditor.,*,*,*,*,Did the debtor owe the debt the creditor?,J,third,three,DoubleObjectConstruction,implausible,221,1digit_2addition,noisy-single
C,8142,The nobleman distracted the pawnbroker and the bassist startled the signatory when the student passed the note the classmate.,The,nobleman,distracted,the,pawnbroker,and,the,bassist,startled,the,signatory,when,the,student,passed,the,note,the,classmate.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the student pass the note the classmate?,J,third,three,DoubleObjectConstruction,implausible,222,1digit_2addition,single
C,8161,The 2 manager + allocated 6 the = tasks x1921 to 3 the + employees 5 and = the x1922 inventor 3 encountered + the 7 chaplain = but x1923 the 2 commoner + quized 4 the = mariner.,The,2,manager,+,allocated,6,the,=,tasks,x1921,to,3,the,+,employees,5,and,=,the,x1922,inventor,3,encountered,+,the,7,chaplain,=,but,x1923,the,2,commoner,+,quized,4,the,=,mariner.,*,*,Did the manager allocate the tasks to the employees?,J,first,three,DativeConstruction,plausible,241,1digit_2addition,dual
C,8162,The 8 lady + assigned 6 the = project x1925 to 6 the + assistant 9 and = the x1926 agnostic 1 belittled + the 2 kleptomaniac = when x1927 the 3 salesman + dismissed 7 the = surfer.,The,8,lady,+,assigned,6,the,=,project,x1925,to,6,the,+,assistant,9,and,=,the,x1926,agnostic,1,belittled,+,the,2,kleptomaniac,=,when,x1927,the,3,salesman,+,dismissed,7,the,=,surfer.,*,*,Did the lady assign the project to the assistant?,J,first,three,DativeConstruction,plausible,242,1digit_2addition,noisy-single
C,8181,The defender beged the embalmer and the borrower owed the money to the lender but the foreman ridiculed the psychiatrist.,The,defender,beged,the,embalmer,and,the,borrower,owed,the,money,to,the,lender,but,the,foreman,ridiculed,the,psychiatrist.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the borrower owe the money to the lender?,J,second,three,DativeConstruction,plausible,261,1digit_2addition,single
C,12102,The 1 sharpshooter + observed 8 the = healer x7466 and 8 the + taxi-driver 1 challenged = the x7467 goalkeeper 6 when + the 7 student = passed x7468 the 3 teacher + to 2 the = assignment x7469 .,The,1,sharpshooter,+,observed,8,the,=,healer,x7466,and,8,the,+,taxi-driver,1,challenged,=,the,x7467,goalkeeper,6,when,+,the,7,student,=,passed,x7468,the,3,teacher,+,to,2,the,=,assignment,x7469,.,Did the student pass the assignment to the teacher?,F,third,three,DativeConstruction,implausible,262,1digit_2addition,dual
C,12121,The 5 manager + allocated 2 the = department x7561 to 2 the + budget 3 and = the x7562 inventor 2 betraied + the 2 dissident = but x7563 the 1 herder + targeted 5 the = patrolman.,The,5,manager,+,allocated,2,the,=,department,x7561,to,2,the,+,budget,3,and,=,the,x7562,inventor,2,betraied,+,the,2,dissident,=,but,x7563,the,1,herder,+,targeted,5,the,=,patrolman.,*,*,Did the manager allocate the budget to the department?,F,first,three,DativeConstruction,implausible,281,1digit_2addition,noisy-single
C,12122,The teacher assigned the students to the homework  and the tramp judged the violist when the instrumentalist blamed the regular.,The,teacher,assigned,the,students,to,the,homework,and,the,tramp,judged,the,violist,when,the,instrumentalist,blamed,the,regular.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the teacher assign the homework to the students?,F,first,three,DativeConstruction,implausible,282,1digit_2addition,single
C,12061,The 3 debtor + owed 1 the = debt x7301 to 9 the + creditor 9 and = the x7302 helper 3 humiliated + the 3 accuser = but x7303 the 1 stuntman + watched 6 the = actuary.,The,3,debtor,+,owed,1,the,=,debt,x7301,to,9,the,+,creditor,9,and,=,the,x7302,helper,3,humiliated,+,the,3,accuser,=,but,x7303,the,1,stuntman,+,watched,6,the,=,actuary.,*,*,Did the debtor owe the creditor to the debt?,F,first,three,DativeConstruction,plausible,301,1digit_2addition,dual
C,12062,The 9 student + passed 6 the = note x7305 to 6 the + classmate 6 and = the x7306 weaver 1 plagiarized + the 8 interpreter = when x7307 the 1 wizard + strangled 7 the = chemist.,The,9,student,+,passed,6,the,=,note,x7305,to,6,the,+,classmate,6,and,=,the,x7306,weaver,1,plagiarized,+,the,8,interpreter,=,when,x7307,the,1,wizard,+,strangled,7,the,=,chemist.,*,*,Did the student pass the classmate to the note?,F,first,three,DativeConstruction,plausible,302,1digit_2addition,noisy-single
C,12161,The supplier agitated the sportscaster and the excavator undermined the neighbor but the chef baked the child the cookies.,The,supplier,agitated,the,sportscaster,and,the,excavator,undermined,the,neighbor,but,the,chef,baked,the,child,the,cookies.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the chef bake the cookies the child?,F,third,three,BenefactiveDoubleObjectConstruction,plausible,321,1digit_2addition,single
C,8402,The 1 agent + booked 5 the = flight x2905 the 6 traveler + and 1 the = illustrator x2906 begrudged 5 the + foreman 7 when = the x2907 gallery 3 befriended + the 2 newswoman.,The,1,agent,+,booked,5,the,=,flight,x2905,the,6,traveler,+,and,1,the,=,illustrator,x2906,begrudged,5,the,+,foreman,7,when,=,the,x2907,gallery,3,befriended,+,the,2,newswoman.,*,*,*,*,Did the agent book the flight the traveler?,J,first,three,BenefactiveDoubleObjectConstruction,implausible,322,1digit_2addition,dual
C,8421,The 5 paleontologist + scared 3 the = mover x2981 and 9 the + thief 9 stole = the x2982 item 9 the + criminal 9 but = the x2983 pawnbroker 6 humiliated + the 5 spokesman.,The,5,paleontologist,+,scared,3,the,=,mover,x2981,and,9,the,+,thief,9,stole,=,the,x2982,item,9,the,+,criminal,9,but,=,the,x2983,pawnbroker,6,humiliated,+,the,5,spokesman.,*,*,*,*,Did the thief steal the item the criminal?,J,second,three,BenefactiveDoubleObjectConstruction,implausible,341,1digit_2addition,noisy-single
C,8422,The pawnbroker defeated the commentator and the roommate washed the dish the friend when the ringleader mollified the zoologist.,The,pawnbroker,defeated,the,commentator,and,the,roommate,washed,the,dish,the,friend,when,the,ringleader,mollified,the,zoologist.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the roommate wash the dish the friend?,J,second,three,BenefactiveDoubleObjectConstruction,implausible,342,1digit_2addition,single
C,8361,The 9 polygamist + defeated 4 the = undergraduate x2741 and 2 the + maid 6 cleaned = the x2742 siblings 7 the + rooms 9 but = the x2743 agnostic 4 followed + the 6 niece.,The,9,polygamist,+,defeated,4,the,=,undergraduate,x2741,and,2,the,+,maid,6,cleaned,=,the,x2742,siblings,7,the,+,rooms,9,but,=,the,x2743,agnostic,4,followed,+,the,6,niece.,*,*,*,*,Did the maid clean the siblings the rooms?,J,second,three,BenefactiveDoubleObjectConstruction,plausible,361,1digit_2addition,dual
C,8362,The 6 jogger + spoted 2 the = groom x2745 and 3 the + researcher 1 compiled = the x2746 team 7 the + report 2 when = the x2747 medic 3 defeated + the 5 weatherman.,The,6,jogger,+,spoted,2,the,=,groom,x2745,and,3,the,+,researcher,1,compiled,=,the,x2746,team,7,the,+,report,2,when,=,the,x2747,medic,3,defeated,+,the,5,weatherman.,*,*,*,*,Did the researcher compile the team the report?,J,second,three,BenefactiveDoubleObjectConstruction,plausible,362,1digit_2addition,noisy-single
C,8381,The carrier delighted the bassist and the oncologist challenged the archivist but the conservationist saved the squirrel the nuts.,The,carrier,delighted,the,bassist,and,the,oncologist,challenged,the,archivist,but,the,conservationist,saved,the,squirrel,the,nuts.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the conservationist save the squirrel the nuts?,J,third,three,BenefactiveDoubleObjectConstruction,plausible,381,1digit_2addition,single
C,12302,The 4 owner + secured 4 the = leash x8285 the 3 dog + and 3 the = parishioner x8286 ruined 6 the + american 5 when = the x8287 revolutionary 4 derided + the 3 taxi-driver.,The,4,owner,+,secured,4,the,=,leash,x8285,the,3,dog,+,and,3,the,=,parishioner,x8286,ruined,6,the,+,american,5,when,=,the,x8287,revolutionary,4,derided,+,the,3,taxi-driver.,*,*,*,*,Did the owner secure the dog the leash?,F,first,three,BenefactiveDoubleObjectConstruction,implausible,382,1digit_2addition,dual
C,12401,The 9 go-between + interviewed 9 the = contender x8681 and 8 the + pollster 7 tested = the x8682 healer 9 but + the 5 chef = baked x8683 the 9 child + for 1 the = cookies.,The,9,go-between,+,interviewed,9,the,=,contender,x8681,and,8,the,+,pollster,7,tested,=,the,x8682,healer,9,but,+,the,5,chef,=,baked,x8683,the,9,child,+,for,1,the,=,cookies.,*,*,Did the chef bake the cookies for the child?,F,third,three,BenefactiveFor,implausible,401,1digit_2addition,noisy-single
C,12402,The cabbie repulsed the plaintiff and the suspect strangled the rogue when the agent booked the traveler for the flight.,The,cabbie,repulsed,the,plaintiff,and,the,suspect,strangled,the,rogue,when,the,agent,booked,the,traveler,for,the,flight.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the agent book the flight for the traveler?,F,third,three,BenefactiveFor,implausible,402,1digit_2addition,single
C,12341,The 7 shoemaker + nudged 1 the = procrastinator x8441 and 5 the + tramp 6 invited = the x8442 proctor 8 but + the 8 thief = stole x8443 the 8 item + for 1 the = criminal.,The,7,shoemaker,+,nudged,1,the,=,procrastinator,x8441,and,5,the,+,tramp,6,invited,=,the,x8442,proctor,8,but,+,the,8,thief,=,stole,x8443,the,8,item,+,for,1,the,=,criminal.,*,*,Did the thief steal the criminal for the item?,F,third,three,BenefactiveFor,plausible,421,1digit_2addition,dual
C,12342,The 5 governor + lashed 5 the = taxpayer x8445 and 8 the + veteran 2 shoved = the x8446 bassist 4 when + the 2 roommate = washed x8447 the 7 dish + for 7 the = friend.,The,5,governor,+,lashed,5,the,=,taxpayer,x8445,and,8,the,+,veteran,2,shoved,=,the,x8446,bassist,4,when,+,the,2,roommate,=,washed,x8447,the,7,dish,+,for,7,the,=,friend.,*,*,Did the roommate wash the friend for the dish?,F,third,three,BenefactiveFor,plausible,422,1digit_2addition,noisy-single
C,12361,The maid cleaned the rooms for the siblings and the porter filmed the adulterer but the messenger appeased the delivery.,The,maid,cleaned,the,rooms,for,the,siblings,and,the,porter,filmed,the,adulterer,but,the,messenger,appeased,the,delivery.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the maid clean the siblings for the rooms?,F,first,three,BenefactiveFor,plausible,441,1digit_2addition,single
C,8602,The 9 butler + presented 6 the = messenger x3705 and 3 the + researcher 4 compiled = the x3706 team 9 for + the 2 report = when x3707 the 9 hairdresser + rated 2 the = astronaut.,The,9,butler,+,presented,6,the,=,messenger,x3705,and,3,the,+,researcher,4,compiled,=,the,x3706,team,9,for,+,the,2,report,=,when,x3707,the,9,hairdresser,+,rated,2,the,=,astronaut.,*,*,Did the researcher compile the team for the report?,J,second,three,BenefactiveFor,implausible,442,1digit_2addition,dual
C,8621,The 5 dog + assuaged 2 the = patriot x3781 and 9 the + yachtsman 9 belittled = the x3782 clown 8 but + the 5 conservationist = saved x3783 the 2 squirrel + for 3 the = nuts.,The,5,dog,+,assuaged,2,the,=,patriot,x3781,and,9,the,+,yachtsman,9,belittled,=,the,x3782,clown,8,but,+,the,5,conservationist,=,saved,x3783,the,2,squirrel,+,for,3,the,=,nuts.,*,*,Did the conservationist save the squirrel for the nuts?,J,third,three,BenefactiveFor,implausible,461,1digit_2addition,noisy-single
C,8622,The instrumentalist pinched the hitter and the astronaut tested the miller when the owner secured the dog for the leash.,The,instrumentalist,pinched,the,hitter,and,the,astronaut,tested,the,miller,when,the,owner,secured,the,dog,for,the,leash.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the owner secure the dog for the leash?,J,third,three,BenefactiveFor,implausible,462,1digit_2addition,single
C,8641,The 9 artist + admired 4 the = masterpiece x3861 and 5 the + trickster 5 hurted = the x3862 greek 1 but + the 9 optometrist = assuaged x3863 the 1 pediatrician.,The,9,artist,+,admired,4,the,=,masterpiece,x3861,and,5,the,+,trickster,5,hurted,=,the,x3862,greek,1,but,+,the,9,optometrist,=,assuaged,x3863,the,1,pediatrician.,*,*,*,*,*,*,*,*,Did the artist admire the masterpiece?,J,first,three,ExperienerSubject,plausible,481,1digit_2addition,dual
C,8642,The 4 child + adored 9 the = toy x3865 and 2 the + wholesaler 9 raved = the x3866 spokeswoman 5 when + the 6 academic = accosted x3867 the 1 commentator.,The,4,child,+,adored,9,the,=,toy,x3865,and,2,the,+,wholesaler,9,raved,=,the,x3866,spokeswoman,5,when,+,the,6,academic,=,accosted,x3867,the,1,commentator.,*,*,*,*,*,*,*,*,Did the child adore the toy?,J,first,three,ExperienerSubject,plausible,482,1digit_2addition,noisy-single
C,8661,The logician noticed the acrobat and the archaeologist venerated the  artifact but the weatherman intrigued the geophysicist.,The,logician,noticed,the,acrobat,and,the,archaeologist,venerated,the,artifact,but,the,weatherman,intrigued,the,geophysicist.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the archaeologist venerate the artifact?,J,second,three,ExperienerSubject,plausible,501,1digit_2addition,single
C,12582,The 6 barkeeper + deprecated 2 the = composer x9405 and 9 the + flutist 7 mollified = the x9406 statistician 7 when + the 1 painting = wanted x9407 the 9 collector.,The,6,barkeeper,+,deprecated,2,the,=,composer,x9405,and,9,the,+,flutist,7,mollified,=,the,x9406,statistician,7,when,+,the,1,painting,=,wanted,x9407,the,9,collector.,*,*,*,*,*,*,*,*,Did the collector want the painting?,F,third,three,ExperienerSubject,implausible,502,1digit_2addition,dual
C,12601,The 1 sculpture + admired 9 the = student x9481 and 1 the + composer 1 astounded = the x9482 gallery 4 but + the 3 broker = saluted x9483 the 8 dog.,The,1,sculpture,+,admired,9,the,=,student,x9481,and,1,the,+,composer,1,astounded,=,the,x9482,gallery,4,but,+,the,3,broker,=,saluted,x9483,the,8,dog.,*,*,*,*,*,*,*,*,Did the student admire the sculpture?,F,first,three,ExperienerSubject,implausible,521,1digit_2addition,noisy-single
C,12602,The doll adored the kid and the doorman befuddled the contender when the townspeople betraied the higher-ups.,The,doll,adored,the,kid,and,the,doorman,befuddled,the,contender,when,the,townspeople,betraied,the,higher-ups.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the kid adore the doll?,F,first,three,ExperienerSubject,implausible,522,1digit_2addition,single
C,12541,The 7 pilgrim + venerated 2 the = shrine x9241 and 3 the + mayor 3 smacked = the x9242 go-between 5 but + the 6 photographer = understanded x9243 the 7 coroner.,The,7,pilgrim,+,venerated,2,the,=,shrine,x9241,and,3,the,+,mayor,3,smacked,=,the,x9242,go-between,5,but,+,the,6,photographer,=,understanded,x9243,the,7,coroner.,*,*,*,*,*,*,*,*,Did the shrine venerate the pilgrim?,F,first,three,ExperienerSubject,plausible,541,1digit_2addition,dual
C,12542,The 4 explorer + wanted 3 the = adventure x9245 and 3 the + shepherd 6 exposed = the x9246 warrior 9 when + the 9 football = observed x9247 the 6 loyalist.,The,4,explorer,+,wanted,3,the,=,adventure,x9245,and,3,the,+,shepherd,6,exposed,=,the,x9246,warrior,9,when,+,the,9,football,=,observed,x9247,the,6,loyalist.,*,*,*,*,*,*,*,*,Did the adventure want the explorer?,F,first,three,ExperienerSubject,plausible,542,1digit_2addition,noisy-single
C,12641,The figure-skater harassed the regular and the clown defended the welder but the decision agonized the committee.,The,figure-skater,harassed,the,regular,and,the,clown,defended,the,welder,but,the,decision,agonized,the,committee.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the committee agonize the decision?,F,third,three,ExperienerObject,plausible,561,1digit_2addition,single
C,8882,The 4 audience + amazed 6 the = trick x4825 and 1 the + yardman 3 hounded = the x4826 postdoc 5 when + the 5 collaborator = fancied x4827 the 1 pharmacist.,The,4,audience,+,amazed,6,the,=,trick,x4825,and,1,the,+,yardman,3,hounded,=,the,x4826,postdoc,5,when,+,the,5,collaborator,=,fancied,x4827,the,1,pharmacist.,*,*,*,*,*,*,*,*,Did the audience amaze the trick?,J,first,three,ExperienerObject,implausible,562,1digit_2addition,dual
C,8901,The 4 soothsayer + investigated 5 the = hairdresser x4901 and 8 the + client 2 displeased = the x4902 decision 3 but + the 2 bachelor = reassured x4903 the 2 vagrant.,The,4,soothsayer,+,investigated,5,the,=,hairdresser,x4901,and,8,the,+,client,2,displeased,=,the,x4902,decision,3,but,+,the,2,bachelor,=,reassured,x4903,the,2,vagrant.,*,*,*,*,*,*,*,*,Did the client displease the decision?,J,second,three,ExperienerObject,implausible,581,1digit_2addition,noisy-single
C,8902,The wife ignored the thug and the presenter embarrassed the mistake when the trendsetter outraged the caregiver.,The,wife,ignored,the,thug,and,the,presenter,embarrassed,the,mistake,when,the,trendsetter,outraged,the,caregiver.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the presenter embarrass the mistake?,J,second,three,ExperienerObject,implausible,582,1digit_2addition,single
C,8841,The 1 landscaper + pursued 3 the = rancher x4661 and 1 the + puzzle 6 agonized = the x4662 student 6 but + the 9 scavenger = avoided x4663 the 9 soothsayer.,The,1,landscaper,+,pursued,3,the,=,rancher,x4661,and,1,the,+,puzzle,6,agonized,=,the,x4662,student,6,but,+,the,9,scavenger,=,avoided,x4663,the,9,soothsayer.,*,*,*,*,*,*,*,*,Did the puzzle agonize the student?,J,second,three,ExperienerObject,plausible,601,1digit_2addition,dual
C,8842,The 5 carrier + infected 2 the = ex-wife x4665 and 5 the + illusion 7 amazed = the x4666 magician 6 when + the 8 botanist = accosted x4667 the 6 senior.,The,5,carrier,+,infected,2,the,=,ex-wife,x4665,and,5,the,+,illusion,7,amazed,=,the,x4666,magician,6,when,+,the,8,botanist,=,accosted,x4667,the,6,senior.,*,*,*,*,*,*,*,*,Did the illusion amaze the magician?,J,second,three,ExperienerObject,plausible,602,1digit_2addition,noisy-single
C,8861,The propagandist pated the adjuster and the art squeezed the juror but the verdict displeased the advocate.,The,propagandist,pated,the,adjuster,and,the,art,squeezed,the,juror,but,the,verdict,displeased,the,advocate.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the verdict displease the advocate?,J,third,three,ExperienerObject,plausible,621,1digit_2addition,single
C,12782,The 2 spokesperson + embarrassed 6 the = blunder x10205 and 4 the + nominee 6 stared = the x10206 signatory 8 when + the 6 interpreter = noted x10207 the 8 mutineer.,The,2,spokesperson,+,embarrassed,6,the,=,blunder,x10205,and,4,the,+,nominee,6,stared,=,the,x10206,signatory,8,when,+,the,6,interpreter,=,noted,x10207,the,8,mutineer.,*,*,*,*,*,*,*,*,Did the blunder embarrass the spokesperson?,F,first,three,ExperienerObject,implausible,622,1digit_2addition,dual
D,7761,The provost choked the defender and the engine assembled the mechanic but the geophysicist eyed the merchant.,The,provost,choked,the,defender,and,the,engine,assembled,the,mechanic,but,the,geophysicist,eyed,the,merchant.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the engine assemble the mechanic?,J,second,three,Transitive,implausible,1,1digit_2addition,single
D,7682,The 3 tailor + bent 5 the = wire x5 and 3 the + entertainer 7 quoted = the x6 residents 9 when + the 3 forester = insulted x7 the 1 messenger.,The,3,tailor,+,bent,5,the,=,wire,x5,and,3,the,+,entertainer,7,quoted,=,the,x6,residents,9,when,+,the,3,forester,=,insulted,x7,the,1,messenger.,*,*,*,*,*,*,*,*,Did the tailor bend the wire?,J,first,three,Transitive,plausible,2,1digit_2addition,dual
D,7701,The 4 thug + quoted 2 the = bricklayer x81 and 4 the + player 3 kicked = the x82 ball 3 but + the 7 psychologist = mentioned x83 the 9 stenographer.,The,4,thug,+,quoted,2,the,=,bricklayer,x81,and,4,the,+,player,3,kicked,=,the,x82,ball,3,but,+,the,7,psychologist,=,mentioned,x83,the,9,stenographer.,*,*,*,*,*,*,*,*,Did the player kick the ball?,J,second,three,Transitive,plausible,21,1digit_2addition,noisy-single
D,7702,The equestrian aggravated the understudy and the burglar knocked the door when the trickster accosted the security.,The,equestrian,aggravated,the,understudy,and,the,burglar,knocked,the,door,when,the,trickster,accosted,the,security.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the burglar knock on the door?,J,second,three,Transitive,plausible,22,1digit_2addition,single
D,11641,The 9 bookshelf + assembled 2 the = carpenter x5621 and 8 the + underwriter 3 infected = the x5622 passenger 1 but + the 7 umpire = faced x5623 the 3 mover.,The,9,bookshelf,+,assembled,2,the,=,carpenter,x5621,and,8,the,+,underwriter,3,infected,=,the,x5622,passenger,1,but,+,the,7,umpire,=,faced,x5623,the,3,mover.,*,*,*,*,*,*,*,*,Did the carpenter assemble the bookshelf?,F,first,three,Transitive,implausible,41,1digit_2addition,dual
D,11642,The 5 mat + bent 5 the = instructor x5625 and 3 the + gnome 2 exposed = the x5626 salesman 4 when + the 4 custodian = applauded x5627 the 9 mapmaker.,The,5,mat,+,bent,5,the,=,instructor,x5625,and,3,the,+,gnome,2,exposed,=,the,x5626,salesman,4,when,+,the,4,custodian,=,applauded,x5627,the,9,mapmaker.,*,*,*,*,*,*,*,*,Did the instructor bend the mat?,F,first,three,Transitive,implausible,42,1digit_2addition,noisy-single
D,11661,The composer squeezed the proofreader and the wall kicked the guy but the missionary confronted the dean.,The,composer,squeezed,the,proofreader,and,the,wall,kicked,the,guy,but,the,missionary,confronted,the,dean.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the guy kick the door?,F,second,three,Transitive,implausible,61,1digit_2addition,single
D,11582,The 3 student + knocked 6 the = door x5385 and 3 the + goalie 9 photographed = the x5386 benefactor 9 when + the 1 socialist = antagonized x5387 the 7 shopper.,The,3,student,+,knocked,6,the,=,door,x5385,and,3,the,+,goalie,9,photographed,=,the,x5386,benefactor,9,when,+,the,1,socialist,=,antagonized,x5387,the,7,shopper.,*,*,*,*,*,*,*,*,Did the door knock the student?,F,first,three,Transitive,plausible,62,1digit_2addition,dual
D,11681,The 5 dairyman + delighted 8 the = co-worker x5781 and 8 the + roadworker 5 shamed = the x5782 storyteller 2 but + the 2 engine = was x5783 assembled 7 by + the 5 mechanic.,The,5,dairyman,+,delighted,8,the,=,co-worker,x5781,and,8,the,+,roadworker,5,shamed,=,the,x5782,storyteller,2,but,+,the,2,engine,=,was,x5783,assembled,7,by,+,the,5,mechanic.,*,*,*,*,Was the mechanic assembled by the engine?,F,third,three,Passive,plausible,81,1digit_2addition,noisy-single
